Date,PRX,ANH,NPN,BTI,GLN,CFR,BHG,AGL,AMS,FSR,VOD,SBK,KIO,IMP,SSW,CPI,MTN,MNP,S32,SOL,GFI,SLM,ANG,ABG,NPH,BID,SHP,DSY,NED,APN,PPH,OMU,BVT,CLS,REM,MCG,MRP,ARI,WHL,EXX
2022-02-23,99099.0,95123.0,200845.0,69618.0,8708.0,21177.0,53720.0,72548.0,198901.0,6596.0,14772.0,15951.0,64491.0,25096.0,6398.0,209929.0,18533.0,38993.0,5000.0,32870.0,19445.0,6560.0,33405.0,17653.0,22559.0,32487.0,23059.0,16060.0,21356.0,20990.0,2246.0,1332.0,20539.0,29924.0,14231.0,12626.0,21719.0,25969.0,5098.0,19250.0
2022-02-24,92719.0,93812.0,189637.0,67665.0,8663.0,19907.0,54400.0,73523.0,214791.0,6457.0,14626.0,15798.0,60306.0,28000.0,6925.0,204455.0,18254.0,35583.0,5102.0,34280.0,20983.0,6353.0,35739.0,17241.0,23710.0,30416.0,22688.0,15512.0,21202.0,20613.0,2177.0,1283.0,20180.0,29502.0,13676.0,12389.0,20538.0,26229.0,4980.0,19023.0
2022-02-25,91800.0,98921.0,188480.0,68107.0,8812.0,20410.0,54791.0,74235.0,214797.0,6656.0,14581.0,15990.0,59689.0,27481.0,6402.0,207664.0,19056.0,36300.0,5203.0,33675.0,19709.0,6425.0,33083.0,17720.0,22675.0,31457.0,22868.0,15640.0,21513.0,20438.0,2160.0,1294.0,20270.0,29651.0,13978.0,12450.0,20493.0,25544.0,4991.0,18895.0
2022-02-28,93705.0,96678.0,192846.0,67324.0,9125.0,20690.0,53950.0,78198.0,240000.0,6612.0,14801.0,16264.0,60446.0,29392.0,7137.0,207435.0,19160.0,32799.0,5501.0,35059.0,21483.0,6466.0,36348.0,17664.0,24827.0,31240.0,22900.0,15780.0,21859.0,20100.0,2195.0,1260.0,21043.0,29895.0,13973.0,12602.0,20962.0,27364.0,5050.0,19806.0
2022-03-01,96203.0,92636.0,193903.0,67277.0,9109.0,19809.0,56686.0,81500.0,251632.0,6806.0,14982.0,16733.0,60600.0,29155.0,7500.0,209624.0,19768.0,30970.0,5515.0,36912.0,22320.0,6412.0,37822.0,17821.0,25496.0,31620.0,23087.0,16073.0,22185.0,20203.0,2202.0,1282.0,22076.0,29929.0,14610.0,12700.0,21500.0,28127.0,5155.0,21550.0
2022-03-02,92852.0,91111.0,187063.0,67076.0,9342.0,19847.0,56960.0,80759.0,252500.0,6750.0,15244.0,16743.0,59459.0,29276.0,7540.0,209815.0,20808.0,31700.0,5800.0,39693.0,21800.0,6375.0,37653.0,17738.0,25344.0,30947.0,23468.0,16069.0,22408.0,19930.0,2172.0,1263.0,22781.0,30344.0,14742.0,12806.0,21566.0,27569.0,5466.0,21627.0
2022-03-03,90251.0,88752.0,183414.0,64470.0,9766.0,19470.0,57923.0,82952.0,251954.0,7039.0,15471.0,16989.0,63600.0,27393.0,7203.0,211200.0,20550.0,29850.0,5800.0,37643.0,21646.0,6635.0,36722.0,18400.0,25154.0,30700.0,23829.0,16425.0,22631.0,19855.0,2199.0,1296.0,22962.0,30724.0,14881.0,13074.0,21968.0,28769.0,5909.0,21900.0
2022-03-04,81700.0,86025.0,163342.0,63108.0,9548.0,18075.0,57200.0,78920.0,249706.0,6803.0,15062.0,16244.0,66723.0,26953.0,7360.0,206355.0,19437.0,28150.0,5850.0,36916.0,23273.0,6319.0,38131.0,17074.0,25437.0,29312.0,23200.0,15816.0,21743.0,18870.0,2081.0,1235.0,22470.0,30862.0,14154.0,12850.0,21200.0,27848.0,5800.0,21228.0
2022-03-07,82356.0,82598.0,163460.0,60500.0,9558.0,17626.0,56786.0,77900.0,234974.0,6472.0,14506.0,15339.0,62930.0,27177.0,7403.0,200876.0,18205.0,26957.0,5880.0,36500.0,24069.0,6054.0,39213.0,16060.0,24881.0,27713.0,22642.0,15209.0,20596.0,17819.0,1963.0,1222.0,22280.0,29908.0,13617.0,12317.0,19687.0,27190.0,5505.0,22090.0
2022-03-08,84555.0,80970.0,170919.0,59700.0,9454.0,17076.0,56700.0,76500.0,237043.0,6330.0,14815.0,15347.0,61938.0,26119.0,7056.0,199619.0,18657.0,27259.0,5598.0,36210.0,25276.0,5994.0,40161.0,15958.0,24850.0,28125.0,22833.0,15026.0,20822.0,17548.0,1989.0,1228.0,21496.0,29501.0,13500.0,12080.0,19290.0,27047.0,5483.0,21202.0
