Date,PRX,BTI,ANH,NPN,BHP,CFR,GLN,AGL,AMS,FSR,VOD,ANG,SBK,MNP,GFI,SLM,KIO,S32,CPI,SSW,MTN,IMP,BID,RMH,REM,ABG,SHP,DSY,OMU,RNI,APN,CLS,QLT,SOL,NRP,BVT,NED,NHM,ASR,MEI
2020-02-27,110448.0,63430.0,94090.0,252000.0,29400.0,10400.0,3952.0,36637.0,120265.0,5697.0,11596.0,32468.0,15074.0,32022.0,11110.0,6775.0,29831.0,2200.0,133172.0,2950.0,7839.0,14149.0,28815.0,7251.0,16627.0,13699.0,11281.0,10110.0,1613.0,33351.0,10417.0,24405.0,3091.0,18545.0,11689.0,18700.0,18170.0,12860.0,18264.0,7124.0
2020-02-28,105473.0,60789.0,87598.0,238094.0,28090.0,10420.0,3783.0,35336.0,104734.0,5512.0,10967.0,27777.0,14850.0,30568.0,9222.0,6498.0,28067.0,2095.0,129999.0,3230.0,7370.0,12465.0,27813.0,7006.0,16000.0,13230.0,11212.0,9630.0,1566.0,32237.0,10000.0,23550.0,2903.0,18590.0,11400.0,18000.0,17661.0,11121.0,17359.0,6758.0
2020-03-02,111750.0,60252.0,89651.0,245000.0,28383.0,10450.0,3822.0,36527.0,109471.0,5488.0,11138.0,28336.0,14986.0,31184.0,9551.0,6400.0,29694.0,2275.0,133356.0,3766.0,7517.0,12780.0,28420.0,7004.0,16070.0,13350.0,11832.0,9818.0,1595.0,31714.0,10301.0,24282.0,2880.0,18820.0,11441.0,18129.0,17500.0,11340.0,18200.0,6854.0
2020-03-03,111833.0,61090.0,88257.0,245000.0,29267.0,10699.0,3860.0,38066.0,116112.0,5500.0,11501.0,30448.0,15050.0,32156.0,9970.0,6590.0,29877.0,2250.0,135707.0,3805.0,7701.0,13123.0,29400.0,7117.0,16327.0,13460.0,12315.0,10168.0,1627.0,32400.0,10650.0,25497.0,2992.0,19283.0,11979.0,18661.0,17101.0,11567.0,18603.0,7085.0
2020-03-04,110900.0,62154.0,87197.0,245000.0,28254.0,10411.0,3830.0,37444.0,111762.0,5622.0,11599.0,31783.0,15246.0,32136.0,10480.0,6752.0,30330.0,2301.0,136401.0,3619.0,7757.0,13257.0,29651.0,7237.0,16409.0,13501.0,12422.0,10262.0,1657.0,32151.0,10880.0,25953.0,2979.0,18625.0,12133.0,18685.0,17289.0,11785.0,18500.0,7147.0
2020-03-05,114000.0,64517.0,86756.0,249965.0,28286.0,10397.0,3720.0,36808.0,110599.0,5591.0,11662.0,32900.0,15264.0,32609.0,10756.0,6680.0,29268.0,2291.0,134929.0,3796.0,7791.0,12500.0,29143.0,7286.0,16429.0,13198.0,12299.0,10300.0,1622.0,32200.0,11000.0,26172.0,2950.0,16974.0,11975.0,18952.0,16647.0,11815.0,18200.0,7326.0
2020-03-06,113204.0,63775.0,85444.0,246975.0,27567.0,10414.0,3613.0,34500.0,94764.0,5286.0,11161.0,33464.0,15010.0,32640.0,11120.0,6422.0,29055.0,2168.0,132500.0,3776.0,7650.0,14100.0,28800.0,6877.0,16072.0,12611.0,12124.0,9927.0,1557.0,31548.0,10775.0,25898.0,2829.0,15972.0,11959.0,18529.0,16117.0,13500.0,17800.0,7321.0
2020-03-09,107359.0,62400.0,79777.0,236184.0,23271.0,10281.0,3202.0,31376.0,92220.0,5000.0,10762.0,32901.0,14270.0,31055.0,10858.0,6213.0,26700.0,1823.0,129135.0,,6495.0,11984.0,28152.0,6497.0,15350.0,12050.0,11594.0,9538.0,1485.0,29883.0,10650.0,25011.0,2730.0,8535.0,11879.0,18158.0,15400.0,11436.0,17280.0,6994.0
2020-03-10,108751.0,60825.0,79399.0,246595.0,24019.0,10353.0,3292.0,32273.0,86375.0,5226.0,10910.0,29778.0,14484.0,31640.0,10260.0,6336.0,27871.0,2009.0,129385.0,,6390.0,12100.0,27953.0,6704.0,15740.0,12002.0,11600.0,10031.0,1518.0,30785.0,10609.0,24883.0,2797.0,7167.0,11741.0,18795.0,15400.0,11106.0,31425.0,6951.0
2020-03-11,107500.0,60859.0,80979.0,248097.0,23620.0,10022.0,3220.0,31197.0,90156.0,5228.0,10992.0,30566.0,14103.0,30987.0,10555.0,6398.0,25796.0,1952.0,129951.0,,6280.0,12310.0,27913.0,6735.0,15841.0,12211.0,11499.0,10200.0,1545.0,30618.0,10919.0,25110.0,2903.0,5272.0,11386.0,18987.0,15300.0,11221.0,31121.0,6984.0
